group_id,code,registered_students,planned_registered_students,prefered_region,period,Day,start_time,end_time
50977,72019,79,90,75542,Sem_B,Tuesday,14:00,16:00
76810,7738,8,25,41387,Sem_B,Tuesday,14:00,16:00
93966,34945,13,50,41387,year,Tuesday,14:00,16:00
30449,92796,-1,30,41387,year,Tuesday,14:00,16:00
87681,86858,39,40,-1,Sem_B,Tuesday,14:00,17:00
8377,45203,-1,0,-1,Sem_B,Tuesday,14:00,17:00
69267,2513,14,40,48494,Sem_B,Tuesday,14:00,16:00
4438,80161,28,35,36068,Sem_B,Tuesday,14:00,16:00
49679,47634,28,30,36068,Sem_B,Tuesday,14:00,16:00
30978,12473,161,200,48494,Sem_B,Tuesday,14:00,16:00
20255,96712,10,40,41387,year,Tuesday,14:00,16:00
23804,39615,58,60,81566,Sem_B,Tuesday,12:00,16:00
95946,87125,11,20,41387,Sem_B,Tuesday,12:00,16:00
46107,70970,15,25,-1,Sem_B,Tuesday,14:00,18:00
81546,6665,-1,0,-1,year,Tuesday,14:00,16:00
90132,9987,9,20,15805,year,Tuesday,14:00,16:00
23930,24729,-1,0,-1,year,Tuesday,08:00,20:00
48238,31246,8,20,15805,Sem_B,Tuesday,14:00,16:00
62478,72005,-1,0,-1,Sem_B,Tuesday,14:00,17:00
85940,46734,27,32,581,Sem_B,Tuesday,12:00,15:00
96101,28215,16,20,36068,year,Tuesday,14:00,16:00
34456,17614,28,40,48494,Sem_B,Tuesday,14:00,16:00
33093,93458,8,25,15805,year,Tuesday,14:00,16:00
20906,38056,-1,0,-1,year,Tuesday,08:00,20:00
30925,74863,44,60,48494,Sem_B,Tuesday,14:00,15:00
86440,57251,1,15,15805,Sem_B,Tuesday,14:00,16:00
48587,7825,23,35,-1,Sem_B,Tuesday,14:00,16:00
89758,72681,14,25,41387,Sem_B,Tuesday,14:00,16:00
428,88202,16,20,15805,Sem_B,Tuesday,14:00,16:00
86523,50392,-1,0,36068,year,Tuesday,14:00,20:00
9788,64237,87,100,75542,Sem_B,Tuesday,14:00,16:00
21111,77117,201,195,-1,year,Tuesday,14:00,16:00
19846,96538,26,60,-1,Sem_B,Tuesday,14:00,15:00
60138,133,37,42,-1,year,Tuesday,13:00,18:00
62020,29827,9,30,37891,Sem_B,Tuesday,14:00,16:00
8792,36096,18,20,36068,year,Tuesday,14:00,16:00
38153,22449,6,15,36068,Sem_B,Tuesday,14:00,16:00
1981,97108,13,30,48494,Sem_B,Tuesday,14:00,16:00
62387,86071,9,13,48494,Sem_B,Tuesday,14:00,18:00
72027,27987,23,30,-1,Sem_B,Tuesday,14:00,16:00
13949,73747,-1,40,-1,year,Tuesday,14:00,18:00
53895,13468,27,30,-1,Sem_B,Tuesday,14:00,18:00
33042,99141,-1,0,-1,year,Tuesday,14:00,21:00
85029,30010,-1,0,-1,year,Tuesday,08:00,22:00
17297,83460,13,25,48494,Sem_B,Tuesday,14:00,17:00
68733,95641,-1,60,15805,year,Tuesday,14:00,16:00
39663,37653,8,25,-1,year,Tuesday,14:00,16:00
47603,51786,60,60,37891,Sem_B,Tuesday,14:00,16:00
28134,21107,-1,205,48494,Sem_B,Tuesday,14:00,15:00
2372,39825,14,20,36068,Sem_B,Tuesday,14:00,16:00
63036,70412,17,50,-1,year,Tuesday,08:00,16:00
54180,27810,58,65,-1,Sem_B,Tuesday,14:00,16:00
95956,97473,-1,40,48494,Sem_B,Tuesday,14:00,16:00
51941,18752,11,25,15805,year,Tuesday,14:00,16:00
10903,82899,1,30,36068,Sem_B,Tuesday,14:00,16:00
