37891:37891,41387,36068,48494,75542,15805,81566,581
48494:48494,75542,81566,37891,76334,36068,15805,581
36068:36068,37891,76334,581,41387,75542,48494,81566
81566:81566,75542,41387,37891,76334,36068,15805,581
15805:15805,581,37891,76334,41387,75542,48494,81566
75542:75542,48494,81566,37891,76334,36068,15805,581
581:581,48494,36068,37891,76334,41387,75542,81566
41387:41387,37891,76334,48494,81566,36068,15805,581
76334:76334,36068,41387,15805,75542,581,48494,81566
