71362:71362,54282,4374,87070,99986,17850,94890,92220,68090
94890:94890,92220,99986,17850,68090,54282,4374,71362,87070
87070:87070,71362,4374,54282,99986,17850,94890,92220,68090
54282:54282,4374,99986,17850,71362,87070,94890,92220,68090
17850:17850,99986,94890,54282,92220,4374,68090,71362,87070
68090:68090,92220,71362,94890,99986,17850,54282,4374,87070
99986:99986,17850,54282,94890,71362,4374,92220,87070,68090
4374:4374,54282,71362,87070,99986,17850,94890,92220,68090
92220:92220,94890,68090,99986,17850,54282,4374,71362,87070
